Pid_red,T_red,tailcor,nmoves,nequil,nprod,sbox,rho,P,P_var,rho_red,P_red,P_var_red,time,seed
4,2,False,100,500,1000,21.0372,0.013151622690590791,118.47176382685075,24.51890479655046,0.6825049982680639,3.0191275446395385,0.6248383449734932,120.19113612174988,89472
4,2,False,100,500,1000,10.5186,0.011440942567183286,125.65017387294814,51.45008340212666,0.5937290531142569,3.202061729096898,1.3111509355122537,14.088443756103516,20107
6,2,False,100,500,1000,21.0372,0.013862260155170947,143.865087940852,27.011844395682573,0.7193836126370344,3.6662495406840074,0.6883682728461177,129.46113872528076,87768
6,2,False,100,500,1000,15.7779,0.01397030485649691,154.6461197472294,40.22679700711961,0.7249906050535753,3.940992728721965,1.025137357238303,70.78661632537842,32100
