Pid_red,T_red,tailcor,nmoves,nequil,nprod,sbox,rho,P,P_var,rho_red,P_red,P_var_red,time,seed
0.016,2,False,100,500,1000,21.0372,0.000157725266973,0.634872722195682,0.230351357487242,0.008185171183435,0.016179059558214,0.005870260607846,3.8135712146759,42733
0.016,2,False,100,500,1000,21.0372,0.000158646826686,0.64272672537775,0.226523046403482,0.008232995632524,0.016379210518888,0.005772700150662,3.63882255554199,92351
0.016,2,False,100,500,1000,21.0372,0.000159621016265,0.645111417032475,0.222797547956948,0.00828355131472,0.016439981862436,0.005677759764749,3.8527684211731,90608
0.016,2,False,100,500,1000,21.0372,0.000156406298061,0.632618032439105,0.245174427285336,0.008116723137419,0.016121601175484,0.006248010857171,3.72579526901245,57294
0.016,2,False,100,500,1000,21.0372,0.000155171107305,0.626440168147705,0.235103890153123,0.008052622768594,0.015964164840895,0.005991373874121,3.97079825401306,69304
0.032,2,False,100,500,1000,21.0372,0.000322765011383,1.28988270484841,0.41449969530914,0.016749928029221,0.032871295891683,0.010563086147527,6.06621098518372,49614
0.032,2,False,100,500,1000,21.0372,0.000322645788623,1.29425138796177,0.428548712795233,0.016743740950143,0.032982627158267,0.010921110492715,6.22633361816406,96884
0.032,2,False,100,500,1000,21.0372,0.000326660695621,1.30665014673891,0.464288887465324,0.016952095018552,0.033298596406418,0.011831911027047,6.30352592468262,26836
0.032,2,False,100,500,1000,21.0372,0.000316811391937,1.27445797572423,0.4183463923988,0.016440964251481,0.032478212991056,0.010661115152618,6.52393865585327,98505
0.032,2,False,100,500,1000,21.0372,0.000318712511623,1.271483203124,0.401883805821974,0.016539623080021,0.032402404058984,0.010241583552981,6.12193441390991,75973
0.064,2,False,100,500,1000,21.0372,0.000661526280102,2.59956607793723,0.776599498418766,0.03432998370446,0.066247190862132,0.019790816487346,9.96213340759277,56716
0.064,2,False,100,500,1000,21.0372,0.000659500567261,2.60407351644188,0.822528634672415,0.034224859099586,0.066362058163045,0.020961271926564,10.1729435920715,11511
0.064,2,False,100,500,1000,21.0372,0.000663945105827,2.60499953719554,0.77274130889948,0.034455508948456,0.066385656822118,0.019692494609846,10.1907272338867,29507
0.064,2,False,100,500,1000,21.0372,0.000671016841427,2.64038662351642,0.808927956261849,0.034822497494846,0.067287459273477,0.020614673028322,10.0423562526703,24841
0.064,2,False,100,500,1000,21.0372,0.0006643489595,2.62117600893474,0.756996182879825,0.03447646698209,0.06679789708786,0.019291246733355,10.0243799686432,63895
0.128,2,False,100,500,1000,21.0372,0.001467313173852,5.56216298867105,1.67700996055448,0.076146388832704,0.141745838370521,0.042736824379054,21.4313638210297,18384
0.128,2,False,100,500,1000,21.0372,0.001432816981221,5.40456205720767,1.57667782675805,0.074356204880029,0.137729545391737,0.040179966111965,19.2330508232117,24088
0.128,2,False,100,500,1000,21.0372,0.001463281081591,5.56320874534174,1.56150576566398,0.075937142933076,0.141772488372745,0.039793322188735,19.3105638027191,77650
0.128,2,False,100,500,1000,21.0372,0.001418470509104,5.42899803149067,1.71318230997189,0.073611693030981,0.138352270340323,0.043658638429532,20.1765620708466,33118
0.128,2,False,100,500,1000,21.0372,0.001425366095762,5.38625541596275,1.55178617016046,0.073969540307382,0.137263020010101,0.039545628581756,19.8212039470673,80411
0.25,2,False,100,500,1000,21.0372,0.003235787335717,11.5893180085301,3.84958198146112,0.16792156237414,0.295341506641856,0.098102523505632,40.7672395706177,34449
0.25,2,False,100,500,1000,21.0372,0.003457622225189,12.2318878605957,4.15298848198539,0.179433709917984,0.311716719410374,0.105834517133196,43.0548763275147,14659
0.25,2,False,100,500,1000,21.0372,0.003413874990831,11.9967678464679,3.90868767622919,0.17716344207253,0.30572493463382,0.099608769596305,42.08491563797,79515
0.25,2,False,100,500,1000,21.0372,0.003219782485749,11.8349474710574,3.75383278627871,0.167090988812513,0.301601113590689,0.095662456579856,40.0752420425415,68187
0.25,2,False,100,500,1000,21.0372,0.003371271650521,11.9717446502908,4.01157128383146,0.174952536742554,0.305087244956609,0.102230649473589,42.8793699741364,30035
0.5,2,False,100,500,1000,21.0372,0.006962930332131,26.8189540497081,9.70727435404347,0.361342084248798,0.683452666478699,0.247379615521714,89.1016206741333,21964
0.5,2,False,100,500,1000,21.0372,0.007134025733484,28.2834823502123,9.71490572353006,0.370221100120183,0.720774620580932,0.24757409289823,98.5274002552032,31249
0.5,2,False,100,500,1000,21.0372,0.007035504770588,27.6205911814592,10.0528219232178,0.365108343223742,0.703881540558878,0.256185529693823,84.4783222675324,28075
0.5,2,False,100,500,1000,21.0372,0.0070106205102,26.5158530655032,10.189101634985,0.363816971619434,0.675728458611262,0.259658473948902,72.5811002254486,32066
0.5,2,False,100,500,1000,21.0372,0.007255742504709,28.6973419166163,10.5308939527323,0.376537606203721,0.731321393720642,0.268368689511873,77.8857111930847,28700
0.75,2,False,100,500,1000,21.0372,0.009156524930014,41.8123961196662,14.4397484475809,0.475178932556513,1.06554467287886,0.36798171030418,98.0754702091217,80222
